Canal,Fecha,categoria,sku,marca,descripcion,precio
Costco,04-04-2024,Refrigeradores,668539,LG,LG Refrigerador 27´Duplex Instaview Door in Door con Dispensador de agua,"$47,999"
Costco,04-04-2024,Refrigeradores,521310,Teka,"Teka Refrigerador de 19' cuatro puertas dual cooling system, color acero inoxidable","$27,999"
Costco,04-04-2024,Refrigeradores,675431,LG,LG Refrigerador 29' French Door Multi-Air Flow,"$25,999"
Costco,04-04-2024,Refrigeradores,656465,LG,LG Refrigerador 25' French Door Door Cooling,"$27,999"
Costco,04-04-2024,Refrigeradores,675388,Dace,Dace Refrigerador 7' ,"$4,599"
Costco,04-04-2024,Refrigeradores,659548,LG,LG Refrigerador 20' Top Mount Multi-Air Flow,"$18,999"
Costco,04-04-2024,Refrigeradores,625824,LG,LG Refrigerador 22' French Door con Dispensador de agua,"$27,999"
Costco,04-04-2024,Refrigeradores,677230,Hisense,Hisense Refrigerador 21'  cuatro puertas,"$28,499"
Costco,04-04-2024,Refrigeradores,657755,LG,LG Refrigerador 30' Instaview Door-in-Door,"$79,999"
Costco,04-04-2024,Refrigeradores,668446,LG,"LG Refrigerador 22' Duplex Door in Door, Door Cooling","$34,499"
Costco,04-04-2024,Refrigeradores,674427,LG,LG Refrigerador 28' French Door Door Cooling,"$37,499"
Costco,04-04-2024,Refrigeradores,681751,Samsung,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,"$34,999"
Costco,04-04-2024,Refrigeradores,671692,LG,LG Refrigerador 27' Duplex con Dispensador de agua,"$35,999"
Costco,04-04-2024,Refrigeradores,681343,Samsung,Samsung Refrigerador 32´ French Door,"$37,999"
Costco,04-04-2024,Refrigeradores,678130,Whirlpool,Whirlpool Refrigerador 25' 7WRS25SDHM,"$25,499"
Costco,04-04-2024,Refrigeradores,649824,Maytag,Maytag Refrigerador 25' French Door,"$39,999"
Costco,04-04-2024,Refrigeradores,670473,Whirlpool,Whirlpool Congelador horizontal 11',"$14,499"
Costco,04-04-2024,Refrigeradores,670471,Whirlpool,Whirlpool Congelador horizontal 7',"$11,499"
Costco,04-04-2024,Refrigeradores,650998,Whirlpool,Whirlpool Refrigerador 25' Dúplex,"$26,999"
Costco,04-04-2024,Refrigeradores,652709,Maytag,Maytag Refrigerador 21' Top Mount,"$20,999"
Costco,04-04-2024,Refrigeradores,662673,Samsung,Samsung Refrigerador 22' Family Hub,"$42,999"
Costco,04-04-2024,Lavadoras,682698,Maytag,Maytag Lavadora 25 KG,"$21,499"
Costco,04-04-2024,Refrigeradores,522265,KitchenAid,KitchenAid Refrigerador de 20' French Door,"$49,999"
Costco,04-04-2024,Refrigeradores,658579,KitchenAid,KitchenAid Refrigerador French Door 27',"$89,999"
Costco,04-04-2024,Refrigeradores,670954,Whirlpool,Whirlpool Refrigerador 17' Bottom Mount,"$19,999"
Costco,04-04-2024,Lavadoras,674919,LG,LG Lavasecadora 22Kg / 13Kg con pedestal,"$26,999"
Costco,04-04-2024,Lavadoras,652706,Whirlpool,Whirlpool centro de lavado 20kg / 10Kg de gas ,"$26,999"
Costco,04-04-2024,Lavadoras,674138,LG,LG Lavasecadora 22Kg / 13Kg con pedestal,"$29,999"
Costco,04-04-2024,Lavadoras,522129,Maytag,Maytag Secadora de gas 19Kg,"$15,499"
Costco,04-04-2024,Lavadoras,660426,Maytag,Maytag Lavadora 22Kg con Pedestal,"$29,999"
Costco,04-04-2024,Lavadoras,662455,LG,LG Lavasecadora 16Kg / 8Kg,"$21,999"
Costco,04-04-2024,Lavadoras,668322,Maytag,Maytag Secadora de gas 28Kg Carga Superior ,"$22,999"
Costco,04-04-2024,Lavadoras,674473,LG,LG Lavasecadora 22kg / 13Kg + twin wash mini 3.5Kg,"$36,999"
Costco,04-04-2024,Lavadoras,652707,Whirlpool,Whirlpool Centro de lavado 20Kg / 10Kg eléctrico,"$26,999"
Costco,04-04-2024,Lavadoras,668513,LG,LG Torre de lavado de gas WashTower™ gris 22Kg / 22Kg,"$52,999"
Costco,04-04-2024,Lavadoras,682702,Maytag,Maytag Secadora 26 KG,"$19,999"
Costco,04-04-2024,Lavadoras,593501,Maytag,Maytag Lavadora 20Kg,"$16,899"
Costco,04-04-2024,Lavadoras,676247,Samsung,Samsung Lavadora 22Kg,"$16,499"
Costco,04-04-2024,Lavavajillas,664483,LG,LG Lavavajillas 60cm 15 servicios,"$21,999"
Costco,04-04-2024,Lavadoras,663465,GE,GE Centro de lavado 20Kg / 20Kg de gas,"$26,999"
Costco,04-04-2024,Lavadoras,681794,LG,LG Torre de lavado eléctrica WashTower™ gris 22Kg / 22Kg,"$52,999"
Costco,04-04-2024,Lavadoras,669995,LG,LG Secadora de gas 25 Kg,"$16,999"
Costco,04-04-2024,Lavadoras,673524,LG,LG Lavadora 22Kg con pedestal carga frontal,"$24,499"
Costco,04-04-2024,Lavadoras,662833,Whirlpool,Whirlpool Lavadora 20Kg top load,"$15,499"
Costco,04-04-2024,Lavadoras,657021,Whirlpool,Whirlpool Secadora eléctrica 23Kg,"$17,999"
Costco,04-04-2024,Lavadoras,660422,Maytag,Maytag Secadora de gas 22Kg con Pedestal,"$26,999"
Costco,04-04-2024,Lavavajillas,681577,Teka,Teka Lavavajillas 60cm 13 servicios,"$15,999"
Costco,04-04-2024,Lavavajillas,684611,Lavavajillas,Lavavajillas Smeg 60 cm Acero,"$28,999"
Costco,04-04-2024,Lavavajillas,677214,Maytag,Maytag Lavavajillas empotrable 14 servicios,"$19,999"
Costco,04-04-2024,Lavavajillas,683950,LG,LG Lavavajillas 14 Servicios LFDFD4441 Libre de empotre,"$17,499"
Costco,04-04-2024,Lavavajillas,684847,Smeg,Smeg Lavavajillas 13 Servicios 60 cm Acero,"$25,999"
Costco,04-04-2024,Lavavajillas,663155,KitchenAid,KitchenAid Lavavajillas 60cm empotrable 13 servicios,"$29,999"
Costco,04-04-2024,,676429,"Carrier,","Carrier, Aire Acondicionado Portatil 12,000 btus 110V,  enfriamiento, 10 SEER","$7,399"
Costco,04-04-2024,,676432,"Carrier,","Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599"
Costco,04-04-2024,,676144,LG,"LG Estufa de gas 5 quemadores 30""","$26,499"
Costco,04-04-2024,,1532177,Ninja,"Ninja Foodi, Horno con Freidora de Aire 10 en 1 XL","$5,999"
Costco,04-04-2024,,684615,"Westinghouse,","Westinghouse, Bufetera Eléctrica","$1,649"
Costco,04-04-2024,Lavadoras,670277,Samsung,Samsung Lavasecadora 12.5 Kg / 7 Kg,"$19,999"
Costco,04-04-2024,Lavadoras,670349,Samsung,Samsung Lavasecadora 12.5Kg / 7Kg,"$19,999"
Costco,04-04-2024,Lavadoras,657170,LG,LG Secadora de gas 25Kg,"$20,999"
Costco,04-04-2024,,676432,"Carrier,","Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599"
Costco,04-04-2024,,682212,Carrier,"Carrier Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$9,999"
Costco,04-04-2024,,682224,"Carrier,","Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$16,999"
Costco,04-04-2024,,682312,"Carrier,","Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$10,599"
Costco,04-04-2024,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499"
