Canal,Fecha,categoria,sku,marca,descripcion,precio,link
Costco,07-04-2024,Hornos,667548,Teka,Teka Horno a Gas Estático con Grill Eléctrico 60 Cm,"$13,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Horno-a-Gas-Estatico-con-Grill-Electrico-60-Cm/p/667548
Costco,07-04-2024,Hornos,668927,Teka,Teka Parrilla de gas 5 quemadores,"$10,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Parrilla-de-gas-5-quemadores/p/668927
Costco,07-04-2024,Hornos,656847,Smeg,Smeg Horno eléctrico 60cm,"$19,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Horno-electrico-60cm/p/656847
Costco,07-04-2024,Hornos,665115,Teka,Teka Horno eléctrico y a gas 80 cm,"$24,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Horno-electrico-y-a-gas-80-cm/p/665115
Costco,07-04-2024,Hornos,673812,Bertazzoni,Bertazzoni Parrilla de Gas 90cm con 5 quemadores ,"$19,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Bertazzoni-Parrilla-de-Gas-90cm-con-5-quemadores/p/673812
Costco,07-04-2024,Hornos,683952,Hisense,Hisense Horno de convección 60cm ,"$10,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Hisense-Horno-de-conveccion-60cm/p/683952
Costco,07-04-2024,Hornos,658980,Teka,Teka Combo horno eléctrico/gas y parrilla ,"$42,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Combo-horno-electricogas-y-parrilla/p/658980
Costco,07-04-2024,Hornos,659319,Smeg,Smeg Parrilla eléctrica 80cm,"$18,399",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Parrilla-electrica-80cm/p/659319
Costco,07-04-2024,Hornos,509786,Smeg,Smeg Horno eléctrico 90cm,"$49,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Horno-electrico-90cm/p/509786
Costco,07-04-2024,Hornos,656841,Smeg,Smeg Horno de gas 60cm,"$23,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Horno-de-gas-60cm/p/656841
Costco,07-04-2024,Hornos,656851,Smeg,Smeg Parrilla barbacoa eléctrica 30cm,"$13,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Parrilla-barbacoa-electrica-30cm/p/656851
Costco,07-04-2024,Hornos,658634,Horno,"Horno de convección computarizado San-Son, acero inoxidable ","$86,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Horno-de-conveccion-computarizado-San-Son-acero-inoxidable/p/658634
Costco,07-04-2024,Hornos,658641,Parrilla,"Parrilla profesional San-Son con 2 quemadores, acero inoxidable ","$10,499",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Parrilla-profesional-San-Son-con-2-quemadores-acero-inoxidable/p/658641
Costco,07-04-2024,Hornos,658659,Asador,"Asador profesional San-Son de 12' con 1 quemador, acero inoxidable ","$9,999",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Asador-profesional-San-Son-de-12-con-1-quemador-acero-inoxidable/p/658659
