Canal,Fecha,marca,descripcion,type,precio,link
Costco,13-04-2024,"LG,Lavasecadora,22Kg,/,13Kg,con,pedestal",LG Lavasecadora 22Kg / 13Kg con pedestal,<class 'str'>,"$26,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-22Kg-13Kg-con-pedestal/p/674919
Costco,13-04-2024,"Maytag,Lavadora,20Kg",Maytag Lavadora 20Kg,<class 'str'>,"$16,899.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Lavadora-20Kg/p/593501
Costco,13-04-2024,"Maytag,Lavadora,25,KG",Maytag Lavadora 25 KG,<class 'str'>,"$21,499.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Lavadora-25-KG/p/682698
Costco,13-04-2024,"Whirlpool,Lavadora,24Kg",Whirlpool Lavadora 24Kg,<class 'str'>,"$16,699.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-Lavadora-24Kg/p/682441
Costco,13-04-2024,"Whirlpool,centro,de,lavado,20kg,/,10Kg,de,gas,",Whirlpool centro de lavado 20kg / 10Kg de gas ,<class 'str'>,"$26,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-centro-de-lavado-20kg-10Kg-de-gas/p/652706
Costco,13-04-2024,"LG,Lavadora,22Kg,con,pedestal,carga,frontal",LG Lavadora 22Kg con pedestal carga frontal,<class 'str'>,"$24,499.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavadora-22Kg-con-pedestal-carga-frontal/p/673524
Costco,13-04-2024,"Whirlpool,Lavadora,20Kg,top,load",Whirlpool Lavadora 20Kg top load,<class 'str'>,"$15,499.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-Lavadora-20Kg-top-load/p/662833
Costco,13-04-2024,"LG,Lavasecadora,16Kg,/,8Kg",LG Lavasecadora 16Kg / 8Kg,<class 'str'>,"$21,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-16Kg-8Kg/p/662455
Costco,13-04-2024,"Maytag,Secadora,de,gas,19Kg",Maytag Secadora de gas 19Kg,<class 'str'>,"$15,499.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-de-gas-19Kg/p/522129
Costco,13-04-2024,"Samsung,Lavadora,22Kg",Samsung Lavadora 22Kg,<class 'str'>,"$16,499.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Samsung-Lavadora-22Kg/p/676247
Costco,13-04-2024,"Maytag,Secadora,26,KG",Maytag Secadora 26 KG,<class 'str'>,"$19,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-26-KG/p/682702
Costco,13-04-2024,"Samsung,Lavasecadora,20Kg,/,12Kg,con,pedestal",Samsung Lavasecadora 20Kg / 12Kg con pedestal,<class 'str'>,"$28,499.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Samsung-Lavasecadora-20Kg-12Kg-con-pedestal/p/665948
Costco,13-04-2024,"LG,Torre,de,lavado,eléctrica,WashTower™,gris,22Kg,/,22Kg",LG Torre de lavado eléctrica WashTower™ gris 22Kg / 22Kg,<class 'str'>,"$52,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Torre-de-lavado-electrica-WashTower-gris-22Kg-22Kg/p/681794
Costco,13-04-2024,"Maytag,Lavadora,22Kg,con,Pedestal",Maytag Lavadora 22Kg con Pedestal,<class 'str'>,"$29,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Lavadora-22Kg-con-Pedestal/p/660426
Costco,13-04-2024,"LG,Lavasecadora,22kg,/,13Kg,+,twin,wash,mini,3.5Kg",LG Lavasecadora 22kg / 13Kg + twin wash mini 3.5Kg,<class 'str'>,"$36,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-22kg-13Kg-twin-wash-mini-35Kg/p/674473
Costco,13-04-2024,"LG,Secadora,de,gas,22Kg,con,pedestal,carga,frontal",LG Secadora de gas 22Kg con pedestal carga frontal,<class 'str'>,"$20,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Secadora-de-gas-22Kg-con-pedestal-carga-frontal/p/673525
Costco,13-04-2024,"Maytag,Secadora,de,gas,22Kg,con,Pedestal",Maytag Secadora de gas 22Kg con Pedestal,<class 'str'>,"$26,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-de-gas-22Kg-con-Pedestal/p/660422
Costco,13-04-2024,"LG,Lavasecadora,22Kg,/,13Kg,con,pedestal",LG Lavasecadora 22Kg / 13Kg con pedestal,<class 'str'>,"$29,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-22Kg-13Kg-con-pedestal/p/674138
Costco,13-04-2024,"LG,Torre,de,lavado,de,gas,WashTower™,gris,22Kg,/,22Kg",LG Torre de lavado de gas WashTower™ gris 22Kg / 22Kg,<class 'str'>,"$52,999.00",https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Torre-de-lavado-de-gas-WashTower-gris-22Kg-22Kg/p/668513
