categoria_01,categoria_02,categoria_03,categoria_00,link
Refrigerador,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
categoria_01,categoria_02,categoria_03,categoria_00,link
Refrigerador,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
categoria_01,categoria_02,categoria_03,categoria_00,link
Refrigerador,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
categoria_01,link
LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
categoria_01,link
LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
categoria_01,link
LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
categoria_01,link
LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
,https://www.costco.com.mx/
LG-Refrigerador-25-French-Door-Door-Cooling,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-25-French-Door-Door-Cooling/p/656465
Dace-Refrigerador-7,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/Dace-Refrigerador-7/p/675388
