Canal,Fecha,categoria,sku,marca,descripcion,precio
Costco,14-04-2024,Estufa,659788,Teka,"Teka Estufa de gas empotrable con 6 quemadores 30"", puerta reflex","$15,999"
Costco,14-04-2024,Campanas,649826,Whirlpool,Whirlpool Campana empotrable 80cm,"$4,199"
Costco,14-04-2024,Campanas,667546,Teka,Teka Campana de pared 70 Cm,"$9,499"
Costco,14-04-2024,Estufa,666869,Smeg,"Smeg Estufa de gas con 5 quemadores 35""","$35,999"
Costco,14-04-2024,Campanas,665116,Teka,Teka Campana de isla 107cm,"$14,999"
Costco,14-04-2024,Estufa,676144,LG,"LG Estufa de gas 5 quemadores 30""","$26,499"
Costco,14-04-2024,Campanas,661928,LG,LG Campana extractora y purificadora 90cm,"$6,999"
Costco,14-04-2024,Estufa,653093,Whirlpool,"Whirlpool Estufa de gas con 6 quemadores 30""","$11,499"
Costco,14-04-2024,Estufa,659200,Smeg,"Smeg Estufa de gas 48""","$129,699"
Costco,14-04-2024,Campanas,659256,Smeg,Smeg Campana de pared 90cm,"$14,299"
Costco,14-04-2024,Estufa,659795,Teka,"Teka Estufa de piso de gas con 6 quemadores 30""","$15,999"
Costco,14-04-2024,Estufa,684220,LG,LG Combo Estufa De Piso a Gas Con Campana Extractora Hez3605S,"$36,999"
Costco,14-04-2024,Estufa,658662,Estufa,"Estufa San-Son 7 equipos en uno, color negro ","$54,999"
Costco,14-04-2024,Estufa,676566,Smeg,Smeg Estufa de piso de gas con 4 quemadores 30”,"$63,899"
Costco,14-04-2024,,684801,Samsung,Samsung Combo de Campana y Estufa ,"$17,999"
