Canal,Fecha,categoria,subcategoria,sku,marca,descripcion,precio
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,676144,LG,"LG Estufa de gas 5 quemadores 30""","$26,499"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,659788,Teka,"Teka Estufa de gas empotrable con 6 quemadores 30"", puerta reflex","$15,999"
Costco,21-04-2024,Campanas,Campanas,667546,Teka,Teka Campana de pared 70 Cm,"$9,499"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,653093,Whirlpool,"Whirlpool Estufa de gas con 6 quemadores 30""","$11,499"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,659795,Teka,"Teka Estufa de piso de gas con 6 quemadores 30""","$15,999"
Costco,21-04-2024,Calentadores,,676432,Carrier,"Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,684801,Samsung,Samsung Combo de Campana y Estufa ,"$17,999"
Costco,21-04-2024,Estufa,Estufa,684220,LG,LG Combo Estufa De Piso a Gas Con Campana Extractora Hez3605S,"$36,999"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,674624,Whirlpool,Whirlpool Combo parrilla y campana,"$17,999"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,666869,Smeg,"Smeg Estufa de gas con 5 quemadores 35""","$35,999"
Costco,21-04-2024,Calentadores,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999"
Costco,21-04-2024,Calentadores,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499"
Costco,21-04-2024,Calentadores,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,675388,Dace,Dace Refrigerador 7' ,"$4,599"
Costco,21-04-2024,Estufas-y-Campanas-de-Cocina,,659200,Smeg,"Smeg Estufa de gas 48""","$129,699"
Costco,21-04-2024,Calentadores,,653001,DeLonghi,"De'Longhi, Calentador Portátil de Aceite  ","$1,999"
Costco,21-04-2024,Refrigeradores,Refrigeradores,656465,LG,LG Refrigerador 25' French Door Door Cooling,"$27,999"
Costco,21-04-2024,Campanas,Campanas,659256,Smeg,Smeg Campana de pared 90cm,"$14,299"
Costco,21-04-2024,Calentadores,,674429,DeLonghi,"De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599"
Costco,21-04-2024,Refrigeradores,Refrigeradores,625824,LG,LG Refrigerador 22' French Door con Dispensador de agua,"$27,999"
Costco,21-04-2024,Hornos-y-Parrillas,,656847,Smeg,Smeg Horno eléctrico 60cm,"$19,999"
