Canal,Fecha,descripcion,type
Costco,15-04-2024,,<class 'NoneType'>
Costco,15-04-2024,Dace Refrigerador 7' ,<class 'str'>
Costco,15-04-2024,LG Refrigerador 22' French Door con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Maytag Refrigerador 25' French Door,<class 'str'>
Costco,15-04-2024,Danby Congelador 10´,<class 'str'>
Costco,15-04-2024,LG Refrigerador 20' Top Mount Multi-Air Flow,<class 'str'>
Costco,15-04-2024,Maytag Refrigerador 21' Top Mount,<class 'str'>
Costco,15-04-2024,LG Refrigerador 30' Instaview Door-in-Door,<class 'str'>
Costco,15-04-2024,Samsung Paneles Bespoke Varios Modelos ,<class 'str'>
Costco,15-04-2024,LG Refrigerador 25' French Door Door Cooling,<class 'str'>
Costco,15-04-2024,"LG Refrigerador 22' Duplex Door in Door, Door Cooling",<class 'str'>
Costco,15-04-2024,LG Refrigerador 27´Duplex Instaview Door in Door con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Whirlpool Refrigerador 25' 7WRS25SDHM,<class 'str'>
Costco,15-04-2024,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,<class 'str'>
Costco,15-04-2024,Refrigerador Bespoke 32' French Door,<class 'str'>
Costco,15-04-2024,KitchenAid Refrigerador French Door 27',<class 'str'>
Costco,15-04-2024,Samsung Refrigerador 27' Family Hub,<class 'str'>
Costco,15-04-2024,Smeg Refrigerador 22' French Door,<class 'str'>
Costco,15-04-2024,LG Refrigerador 28' French Door Door Cooling,<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 7',<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 11',<class 'str'>
Costco,15-04-2024,LG Refrigerador 27' Duplex con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Whirlpool Refrigerador y congelador de 18´ sidekicks,<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 15',<class 'str'>
Costco,15-04-2024,,<class 'NoneType'>
Costco,15-04-2024,Dace Refrigerador 7' ,<class 'str'>
Costco,15-04-2024,LG Refrigerador 22' French Door con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Maytag Refrigerador 25' French Door,<class 'str'>
Costco,15-04-2024,Danby Congelador 10´,<class 'str'>
Costco,15-04-2024,LG Refrigerador 20' Top Mount Multi-Air Flow,<class 'str'>
Costco,15-04-2024,Maytag Refrigerador 21' Top Mount,<class 'str'>
Costco,15-04-2024,LG Refrigerador 30' Instaview Door-in-Door,<class 'str'>
Costco,15-04-2024,Samsung Paneles Bespoke Varios Modelos ,<class 'str'>
Costco,15-04-2024,LG Refrigerador 25' French Door Door Cooling,<class 'str'>
Costco,15-04-2024,"LG Refrigerador 22' Duplex Door in Door, Door Cooling",<class 'str'>
Costco,15-04-2024,LG Refrigerador 27´Duplex Instaview Door in Door con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Whirlpool Refrigerador 25' 7WRS25SDHM,<class 'str'>
Costco,15-04-2024,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,<class 'str'>
Costco,15-04-2024,Refrigerador Bespoke 32' French Door,<class 'str'>
Costco,15-04-2024,KitchenAid Refrigerador French Door 27',<class 'str'>
Costco,15-04-2024,Samsung Refrigerador 27' Family Hub,<class 'str'>
Costco,15-04-2024,Smeg Refrigerador 22' French Door,<class 'str'>
Costco,15-04-2024,LG Refrigerador 28' French Door Door Cooling,<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 7',<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 11',<class 'str'>
Costco,15-04-2024,LG Refrigerador 27' Duplex con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Whirlpool Refrigerador y congelador de 18´ sidekicks,<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 15',<class 'str'>
Costco,15-04-2024,,<class 'NoneType'>
Costco,15-04-2024,Dace Refrigerador 7' ,<class 'str'>
Costco,15-04-2024,LG Refrigerador 22' French Door con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Maytag Refrigerador 25' French Door,<class 'str'>
Costco,15-04-2024,Danby Congelador 10´,<class 'str'>
Costco,15-04-2024,LG Refrigerador 20' Top Mount Multi-Air Flow,<class 'str'>
Costco,15-04-2024,Maytag Refrigerador 21' Top Mount,<class 'str'>
Costco,15-04-2024,LG Refrigerador 30' Instaview Door-in-Door,<class 'str'>
Costco,15-04-2024,Samsung Paneles Bespoke Varios Modelos ,<class 'str'>
Costco,15-04-2024,LG Refrigerador 25' French Door Door Cooling,<class 'str'>
Costco,15-04-2024,"LG Refrigerador 22' Duplex Door in Door, Door Cooling",<class 'str'>
Costco,15-04-2024,LG Refrigerador 27´Duplex Instaview Door in Door con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Whirlpool Refrigerador 25' 7WRS25SDHM,<class 'str'>
Costco,15-04-2024,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,<class 'str'>
Costco,15-04-2024,Refrigerador Bespoke 32' French Door,<class 'str'>
Costco,15-04-2024,KitchenAid Refrigerador French Door 27',<class 'str'>
Costco,15-04-2024,Samsung Refrigerador 27' Family Hub,<class 'str'>
Costco,15-04-2024,Smeg Refrigerador 22' French Door,<class 'str'>
Costco,15-04-2024,LG Refrigerador 28' French Door Door Cooling,<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 7',<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 11',<class 'str'>
Costco,15-04-2024,LG Refrigerador 27' Duplex con Dispensador de agua,<class 'str'>
Costco,15-04-2024,Whirlpool Refrigerador y congelador de 18´ sidekicks,<class 'str'>
Costco,15-04-2024,Whirlpool Congelador horizontal 15',<class 'str'>
