Canal,Fecha,categoria,subcategoria,descripcion,marca,precio
Costco,16-04-2024,https:,,,,
Costco,16-04-2024,Refrigeradores,,Dace Refrigerador 7' ,Dace,"$4,599"
Costco,16-04-2024,Refrigeradores,,Danby Congelador 10´,Danby,"$6,999"
Costco,16-04-2024,Refrigeradores,,Maytag Refrigerador 25' French Door,Maytag,"$39,999"
Costco,16-04-2024,Refrigeradores,,LG Refrigerador 25' French Door Door Cooling,LG,"$27,999"
Costco,16-04-2024,Refrigeradores,,LG Refrigerador 30' Instaview Door-in-Door,LG,"$79,999"
Costco,16-04-2024,Refrigeradores,,Refrigerador Bespoke 32' French Door,Refrigerador,"$42,999"
Costco,16-04-2024,Refrigeradores,,Samsung Paneles Bespoke Varios Modelos ,Samsung,"$1,899"
Costco,16-04-2024,Refrigeradores,,Maytag Refrigerador 21' Top Mount,Maytag,"$20,999"
Costco,16-04-2024,Refrigeradores,,Samsung Refrigerador 32´ French Door,Samsung,"$37,999"
Costco,16-04-2024,Refrigeradores,,Samsung Refrigerador de 32´ French Door con Centro de Bebidas ,Samsung,"$34,999"
Costco,16-04-2024,Refrigeradores,,Whirlpool Refrigerador 25' 7WRS25SDHM,Whirlpool,"$25,499"
Costco,16-04-2024,Refrigeradores,,LG Refrigerador 28' French Door Door Cooling,LG,"$37,499"
Costco,16-04-2024,Refrigeradores,,KitchenAid Refrigerador French Door 27',KitchenAid,"$89,999"
Costco,16-04-2024,Refrigeradores,,Whirlpool Congelador horizontal 7',Whirlpool,"$11,499"
Costco,16-04-2024,Refrigeradores,,LG Refrigerador 27' Duplex con Dispensador de agua,LG,"$35,999"
Costco,16-04-2024,Refrigeradores,,Smeg Refrigerador 22' French Door,Smeg,"$56,999"
Costco,16-04-2024,Refrigeradores,,Whirlpool Congelador horizontal 15',Whirlpool,"$18,499"
Costco,16-04-2024,Refrigeradores,,Samsung Refrigerador 27' Family Hub,Samsung,"$56,999"
Costco,16-04-2024,Refrigeradores,,Whirlpool Congelador horizontal 11',Whirlpool,"$14,499"
Costco,16-04-2024,Refrigeradores,,Bertazzoni Refrigerador 36' French Door,Bertazzoni,"$72,999"
Costco,16-04-2024,Refrigeradores,,Hisense Refrigerador 21'  cuatro puertas,Hisense,"$28,499"
Costco,16-04-2024,Refrigeradores,,Samsung Refrigerador 31' French Door Family Hub,Samsung,"$69,999"
Costco,16-04-2024,Refrigeradores,,Whirlpool Refrigerador 17' Bottom Mount,Whirlpool,"$19,999"
