
Canal,Fecha,categoria,subcategoria,descripcion,marca,precio
Costco,16-04-2024,Hornos-y-Parrillas,,Teka Horno a Gas Estático con Grill Eléctrico 60 Cm,Teka,"$13,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Teka Parrilla de gas 5 quemadores,Teka,"$10,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Smeg Horno eléctrico 60cm,Smeg,"$19,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Teka Parrilla de gas 5 quemadores 68cm + campana empotrable 80cm,Teka,"$9,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Whirlpool Parrilla de gas 5 quemadores 86cm,Whirlpool,"$10,499"
Costco,16-04-2024,Hornos-y-Parrillas,,Whirlpool Horno eléctrico 60cm,Whirlpool,"$21,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Smeg Parrilla eléctrica 80cm,Smeg,"$18,399"
Costco,16-04-2024,Hornos-y-Parrillas,,Teka Horno eléctrico y a gas 80 cm,Teka,"$24,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Smeg Horno eléctrico 90cm,Smeg,"$49,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Smeg Horno de gas 60cm,Smeg,"$23,499"
Costco,16-04-2024,Hornos-y-Parrillas,,Smeg Parrilla barbacoa eléctrica 30cm,Smeg,"$13,999"
Costco,16-04-2024,Hornos-y-Parrillas,,"Horno de convección computarizado San-Son, acero inoxidable ",Horno,"$86,999"
Costco,16-04-2024,Hornos-y-Parrillas,,Smeg Parrilla eléctrica 30cm,Smeg,"$11,899"
Costco,16-04-2024,Hornos-y-Parrillas,,Smeg Horno eléctrico 75cm,Smeg,"$62,999"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Portatil 12,000 btus 110V,  enfriamiento, 10 SEER",Carrier,"$7,399"
Costco,16-04-2024,Lavavajillas,Lavavajillas,Teka Lavavajillas 60cm 13 servicios,Teka,"$15,999"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,"LG Estufa de gas 5 quemadores 30""",LG,"$26,499"
Costco,16-04-2024,Calentadores,,"Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER",Carrier,"$28,599"
Costco,16-04-2024,Lavadoras,Lavadoras,LG Lavasecadora 22Kg / 13Kg con pedestal,LG,"$26,999"
Costco,16-04-2024,Microondas,Microondas,Cuisinart Tostador de Acero para 2 Rebanadas,Cuisinart,$789
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 220V, Gas R32, con Wi-Fi",Carrier,"$10,599"
Costco,16-04-2024,Aires Acondicionados,,"Carrier Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 220V, Gas R32, con Wi-Fi",Carrier,"$9,999"
Costco,16-04-2024,Calentadores,,"Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER",Carrier,"$28,599"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 18,000 BTU, 220V, Gas R32, con Wi-Fi",Carrier,"$13,599"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 24,000 BTU, 220V, Gas R32, con Wi-Fi",Carrier,"$18,999"
Costco,16-04-2024,Lavavajillas,Lavavajillas,LG Lavavajillas 60cm 15 servicios,LG,"$21,999"
Costco,16-04-2024,Lavavajillas,Lavavajillas,LG Lavavajillas 14 Servicios Libre de empotre,LG,"$17,499"
Costco,16-04-2024,Lavavajillas,Lavavajillas,Smeg Lavavajillas 13 Servicios 60 cm Acero,Smeg,"$25,999"
Costco,16-04-2024,Lavavajillas,Lavavajillas,Whirlpool Lavavajillas 60cm 15 servicios,Whirlpool,"$22,999"
Costco,16-04-2024,Lavavajillas,Lavavajillas,Lavavajillas Smeg 60 cm Acero,Lavavajillas,"$28,999"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,"Teka Estufa de gas empotrable con 6 quemadores 30"", puerta reflex",Teka,"$15,999"
Costco,16-04-2024,Campanas,Campanas,LG Campana extractora y purificadora 90cm,LG,"$6,999"
Costco,16-04-2024,Campanas,Campanas,Teka Campana de pared 70 Cm,Teka,"$9,499"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,"Whirlpool Estufa de gas con 6 quemadores 30""",Whirlpool,"$11,499"
Costco,16-04-2024,Calentadores,,"De'Longhi, Calentador Portátil de Aceite  ",DeLonghi,"$1,999"
Costco,16-04-2024,Calentadores,,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi",LG,"$17,999"
Costco,16-04-2024,Calentadores,,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi",LG,"$21,499"
Costco,16-04-2024,Calentadores,,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi",LG,"$15,999"
Costco,16-04-2024,Calentadores,,"De'Longhi, Calentador de Aceite Portátil, TRLS0715EL",DeLonghi,"$2,599"
Costco,16-04-2024,Lavadoras,Lavadoras,Whirlpool Lavadora 24Kg,Whirlpool,"$16,699"
Costco,16-04-2024,Lavadoras,Lavadoras,Maytag Lavadora 25 KG,Maytag,"$21,499"
Costco,16-04-2024,Lavadoras,Lavadoras,Maytag Lavadora 29Kg Carga Superior,Maytag,"$24,999"
Costco,16-04-2024,Lavadoras,Lavadoras,GE Centro de lavado 20Kg / 20Kg de gas,GE,"$26,999"
Costco,16-04-2024,Lavadoras,Lavadoras,LG Lavadora 22Kg con pedestal carga frontal,LG,"$24,499"
Costco,16-04-2024,Lavadoras,Lavadoras,Maytag Secadora de gas 19Kg,Maytag,"$15,499"
Costco,16-04-2024,Lavadoras,Lavadoras,Whirlpool Lavadora 20Kg top load,Whirlpool,"$15,499"
Costco,16-04-2024,Microondas,Microondas,"Chefman, Horno Digital + Freidora de Aire de 20L Negro",Chefman,"$2,599"
Costco,16-04-2024,Microondas,Microondas,"Sur La Table Freidora de Aire con Rosticero , 12.3 litros",Sur,"$2,199"
Costco,16-04-2024,Microondas,Microondas,"LG, horno de microondas 1.5', Smart inverter",LG,"$3,499"
Costco,16-04-2024,Microondas,Microondas,"Gourmia, Horno y Freidora de Aire Digital , 16 Funciones",Gourmia,"$2,099"
Costco,16-04-2024,Microondas,Microondas,"Microondas Whirlpool de 1.1' con potencia grill, color silver acabado espejo ",Microondas,"$2,999"
Costco,16-04-2024,Microondas,Microondas,"Panasonic, horno de microondas  1.3' Inverter",Panasonic,"$3,199"
Costco,16-04-2024,Calentadores,,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi",LG,"$17,999"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 18,000 BTU, 220V, Gas R32, con Wi-Fi",Carrier,"$14,999"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 110V, Gas R32, con Wi-Fi",Carrier,"$9,999"
Costco,16-04-2024,Calentadores,,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi",LG,"$21,499"
Costco,16-04-2024,Calentadores,,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi",LG,"$15,999"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 110V, Gas R32, con Wi-Fi",Carrier,"$11,599"
Costco,16-04-2024,Aires Acondicionados,,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 24,000 BTU, 220V, Gas R32, con Wi-Fi",Carrier,"$16,999"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,"Smeg Estufa de gas con 5 quemadores 35""",Smeg,"$35,999"
Costco,16-04-2024,Estufa,Estufa,LG Combo Estufa De Piso a Gas Con Campana Extractora Hez3605S,LG,"$36,999"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,"Teka Estufa de piso de gas con 6 quemadores 30""",Teka,"$15,999"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,"Smeg Estufa de gas 48""",Smeg,"$129,699"
Costco,16-04-2024,Estufas-y-Campanas-de-Cocina,,Samsung Combo de Campana y Estufa ,Samsung,"$17,999"
Costco,16-04-2024,Estufa,Estufa,"Estufa San-Son 7 equipos en uno, color negro ",Estufa,"$54,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Samsung Lavasecadora 20Kg / 12Kg con pedestal,Samsung,"$28,499"
Costco,16-04-2024,Lavadoras,Lavadoras,Maytag Secadora de gas 28Kg Carga Superior ,Maytag,"$22,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Maytag Secadora 26 KG,Maytag,"$19,999"
Costco,16-04-2024,Lavadoras,Lavadoras,Whirlpool Secadora eléctrica 23Kg,Whirlpool,"$17,999"
