Canal,Fecha,sku,marca,categoria,subcategoria,descripcion,precio
Elektra,17-04-2024,1500621995,Whirlpool,Refrigerador,Refrigeradores,Refrigerador Whirlpool 13p³ Xpert Energy Saver Wb1333a,
Elektra,17-04-2024,1500621976,French,Refrigerador,Refrigeradores,Refrigerador French Door 19.56 p³  Negro MWRF140SWHV,
Elektra,17-04-2024,1500621937,Whirlpool,Refrigerador,Refrigeradores,Refrigerador Whirlpool French Door 19.56 p³ MWRF140SWHM,
Elektra,17-04-2024,1500542002,329L,Refrigerador,Refrigeradores,Refrigerador 329L C/Despachador Plateado RT32A5710S8 Samsung,
Elektra,17-04-2024,1500539384,Unipuerta,Refrigerador,Refrigeradores,Refrigerador Unipuerta 7 Ft Cubicos Negro RR63D6WBX Hisense,
Elektra,17-04-2024,1500539292,176cm,Refrigerador,Refrigeradores,Refrigerador 176cm Gris Despachador Agua RMA300FJMRE0 Mabe,
Elektra,17-04-2024,1500537973,2,Refrigerador,Refrigeradores,Refrigerador 2 Puertas C/Despachador 11 Pies GT32WPK LG,
Elektra,17-04-2024,1500534764,Mabe,Refrigerador,Refrigeradores,Refrigerador Mabe RMB520IJMRE0 19 Pies 520L Gris -ORT,
Elektra,17-04-2024,1500438673,Automático,Refrigerador,Refrigeradores,Refrigerador Automático 400 L (15 pies) Inoxidable Mabe,
Elektra,17-04-2024,1500543762,1,Refrigerador,Refrigeradores,Refrigerador 1 Puerta 7 Pies 176 Lt Blanco RR63D6WWX Hisense,
Elektra,17-04-2024,1500670201,11,Refrigerador,Refrigeradores,Refrigerador 11 Pies Cúbicos Plateado C/Smart Diagnosis LG,
Elektra,17-04-2024,1500342245,Automático,Refrigerador,Refrigeradores,Refrigerador Automático 15 pies Black Stainless Steel Mabe,
Elektra,17-04-2024,7003685,Mabe,Refrigerador,Refrigeradores,Refrigerador Mabe 10 Pies Top Mount RMA1025YMXP0 Black Steel,
Elektra,17-04-2024,1500438676,Automático,Refrigerador,Refrigeradores,Refrigerador Automático 510 L (19 pies) Inoxidable Mabe,
Elektra,17-04-2024,1500564907,12,Refrigerador,Refrigeradores,Refrigerador 12 PIES XPERT ENERGY,
Elektra,17-04-2024,old,General,Refrigerador,Refrigeradores,Refrigerador General Electric 25 Pies French Door PFM25LENCDS Stainless,
