Canal,Fecha,sku,marca,categoria,subcategoria,descripcion,precio,link
Elektra,18-04-2024,1500622040,French,Refrigerador,Refrigeradores,Refrigerador French Door Whirlpool WRX735SDHV 25p³ Negro,,https://www.elektra.mx/refrigerador-french-door-whirlpool-wrx735sdhv-25p-negro-1500622040/p
Elektra,18-04-2024,1500621995,Whirlpool,Refrigerador,Refrigeradores,Refrigerador Whirlpool 13p³ Xpert Energy Saver Wb1333a,,https://www.elektra.mx/refrigerador-whirlpool-13p-xpert-energy-saver-wb1333a-1500621995/p
Elektra,18-04-2024,1500621976,French,Refrigerador,Refrigeradores,Refrigerador French Door 19.56 p³  Negro MWRF140SWHV,,https://www.elektra.mx/refrigerador-french-door-19-56-p-negro-mwrf140swhv-1500621976/p
Elektra,18-04-2024,1500621937,Whirlpool,Refrigerador,Refrigeradores,Refrigerador Whirlpool French Door 19.56 p³ MWRF140SWHM,,https://www.elektra.mx/refrigerador-whirlpool-french-door-19-56-p-mwrf140swhm-1500621937/p
Elektra,18-04-2024,1500542002,329L,Refrigerador,Refrigeradores,Refrigerador 329L C/Despachador Plateado RT32A5710S8 Samsung,,https://www.elektra.mx/refrigerador-329l-c-despachador-plateado-rt32a5710s8-samsung-1500542002/p
Elektra,18-04-2024,1500539384,Unipuerta,Refrigerador,Refrigeradores,Refrigerador Unipuerta 7 Ft Cubicos Negro RR63D6WBX Hisense,,https://www.elektra.mx/refrigerador-unipuerta-7-ft-cubicos-negro-rr63d6wbx-hisense-1500539384/p
Elektra,18-04-2024,1500539292,176cm,Refrigerador,Refrigeradores,Refrigerador 176cm Gris Despachador Agua RMA300FJMRE0 Mabe,,https://www.elektra.mx/refrigerador-176cm-gris-despachador-agua-rma300fjmre0-mabe-1500539292/p
Elektra,18-04-2024,1500537973,2,Refrigerador,Refrigeradores,Refrigerador 2 Puertas C/Despachador 11 Pies GT32WPK LG,,https://www.elektra.mx/refrigerador-2-puertas-c-despachador-11-pies-gt32wpk-lg-1500537973/p
Elektra,18-04-2024,1500543762,1,Refrigerador,Refrigeradores,Refrigerador 1 Puerta 7 Pies 176 Lt Blanco RR63D6WWX Hisense,,https://www.elektra.mx/refrigerador-1-puerta-7-pies-176-lt-blanco-rr63d6wwx-hisense-1500543762/p
Elektra,18-04-2024,1500670201,11,Refrigerador,Refrigeradores,Refrigerador 11 Pies Cúbicos Plateado C/Smart Diagnosis LG,,https://www.elektra.mx/refrigerador-11-pies-cubicos-plateado-c-smart-diagnosis-lg-1500670201/p
Elektra,18-04-2024,1500342245,Automático,Refrigerador,Refrigeradores,Refrigerador Automático 15 pies Black Stainless Steel Mabe,,https://www.elektra.mx/refrigerador-automatico-15-pies-black-stainless-steel-mabe-1500342245/p
Elektra,18-04-2024,1500438673,Automático,Refrigerador,Refrigeradores,Refrigerador Automático 400 L (15 pies) Inoxidable Mabe,,https://www.elektra.mx/refrigerador-automatico-400-l--15-pies--inoxidable-mabe-1500438673/p
Elektra,18-04-2024,7003685,Mabe,Refrigerador,Refrigeradores,Refrigerador Mabe 10 Pies Top Mount RMA1025YMXP0 Black Steel,,https://www.elektra.mx/refrigerador-top-mount-rma1025ymxp0-10-pies-cubicos-black-steel-7003685/p
Elektra,18-04-2024,1500438676,Automático,Refrigerador,Refrigeradores,Refrigerador Automático 510 L (19 pies) Inoxidable Mabe,,https://www.elektra.mx/refrigerador-automatico-510-l--19-pies--inoxidable-mabe-1500438676/p
Elektra,18-04-2024,1500564907,12,Refrigerador,Refrigeradores,Refrigerador 12 PIES XPERT ENERGY,,https://www.elektra.mx/refrigerador-12-pies-xpert-energy-1500564907/p
Elektra,18-04-2024,old,General,Refrigerador,Refrigeradores,Refrigerador General Electric 25 Pies French Door PFM25LENCDS Stainless,,https://www.elektra.mx/refrigerador-french-door-pfm25lencds-25-pies-cubicos-dark-stainless-7003639-old/p
